0.00	0.00	0.00	-0.15	0.00	1.39	0.00	0.00	-0.00	1.00	0.00	0.00	0.00
-0.47	0.00	4.24	-0.98	-0.00	8.88	0.00	0.00	-0.00	1.00	-0.00	-0.00	-0.00
-1.62	0.01	14.70	-1.81	-0.00	16.36	0.00	-0.00	-0.00	1.00	-0.00	-0.00	-0.00
-3.47	0.01	31.42	-2.64	-0.00	23.86	0.00	0.00	-0.00	1.00	-0.00	-0.00	-0.00
-6.02	0.03	54.36	-3.46	-0.01	31.35	0.00	0.00	-0.00	1.00	-0.00	-0.00	-0.00
-9.27	0.05	83.56	-4.29	-0.00	38.85	0.00	0.00	-0.00	1.00	-0.00	-0.00	-0.00
-13.20	0.07	118.91	-5.11	0.01	46.33	0.00	0.00	-0.00	1.00	0.00	-0.00	-0.00
-17.83	0.10	160.43	-5.94	0.00	53.80	0.00	0.00	-0.00	1.00	0.00	-0.00	-0.00
-23.17	0.14	208.32	-6.76	0.01	61.29	0.00	0.00	-0.00	1.00	0.00	-0.00	-0.00
-29.22	0.19	262.54	-7.59	0.02	68.80	0.00	0.00	-0.00	1.00	0.00	-0.00	-0.01
-35.97	0.23	322.93	-8.41	0.01	76.30	0.00	0.00	-0.00	1.00	0.00	-0.00	-0.01
-43.42	0.28	389.57	-9.23	0.01	83.80	-0.00	-0.00	-0.00	1.00	0.00	-0.00	-0.01
-51.58	0.33	462.54	-10.05	0.01	91.31	0.00	0.00	-0.00	1.00	0.00	-0.00	-0.01
-60.43	0.39	541.58	-10.87	0.00	98.79	0.00	0.00	-0.00	1.00	0.00	-0.00	-0.01
-70.03	0.46	627.27	-11.70	0.02	106.32	0.00	0.00	-0.00	1.00	0.00	-0.00	-0.01
-80.38	0.53	719.58	-12.49	0.04	113.88	0.00	-0.00	-0.00	1.00	0.00	-0.00	-0.01
-91.48	0.61	818.48	-13.34	0.04	121.44	-0.01	-0.01	0.00	1.00	0.00	-0.00	-0.01
-142.37	-0.03	1280.10	0.67	17.23	151.68	0.02	-0.01	0.38	0.81	0.02	-0.01	0.59
-156.11	-1.40	1411.57	6.24	18.32	159.02	0.01	-0.01	0.28	0.72	0.02	-0.02	0.69
-169.71	-3.58	1547.94	6.98	18.44	166.47	0.00	0.00	0.00	0.71	0.03	-0.02	0.71
-183.12	-6.50	1689.33	6.57	18.48	173.92	0.00	0.00	-0.00	0.71	0.03	-0.02	0.71
-196.64	-10.24	1838.87	5.06	18.44	181.51	-0.01	0.00	-0.16	0.72	0.03	-0.02	0.69
-210.24	-14.83	1995.88	-6.25	14.22	189.45	-0.06	0.04	-1.16	0.86	0.02	-0.01	0.51
-224.28	-20.00	2160.10	-15.48	3.05	197.11	-0.02	0.02	-0.52	0.97	0.00	-0.01	0.25
-238.87	-25.43	2331.11	-17.97	-7.25	204.49	-0.01	0.01	-0.21	1.00	-0.01	-0.00	0.05
-254.02	-30.80	2508.25	-18.58	-8.70	212.07	0.00	0.00	-0.00	1.00	-0.01	0.00	0.01
-269.68	-36.05	2690.32	-19.28	-8.72	219.63	0.00	0.00	-0.00	1.00	-0.01	0.00	0.01
-285.90	-41.21	2878.32	-19.95	-8.75	227.18	0.00	0.00	-0.00	1.00	-0.01	0.00	0.01
-302.70	-46.28	3072.41	-20.62	-8.69	234.71	0.00	0.00	-0.00	1.00	-0.01	0.00	0.01
-320.18	-51.33	3274.55	-21.20	-8.86	242.31	0.00	-0.00	0.01	1.00	-0.01	0.00	0.00
-338.34	-56.30	3484.37	-22.01	-6.98	249.99	0.00	0.00	0.01	1.00	-0.01	0.00	0.03
-357.00	-61.03	3700.33	-17.93	-27.82	256.56	-0.04	0.03	-0.75	0.96	-0.02	0.01	-0.27
-376.05	-65.26	3923.90	3.59	-44.05	262.59	-0.04	0.02	-0.75	0.79	-0.04	0.02	-0.62
-394.77	-68.79	4153.39	11.05	-45.30	269.78	-0.00	0.00	-0.04	0.71	-0.04	0.02	-0.71
-412.93	-71.73	4389.07	11.43	-45.25	277.37	0.00	0.00	-0.00	0.70	-0.04	0.02	-0.71
-430.48	-74.06	4630.91	11.25	-45.12	284.98	0.00	-0.00	0.00	0.70	-0.04	0.02	-0.72
-447.56	-75.82	4880.14	-5.65	-39.52	293.59	0.04	-0.02	0.78	0.85	-0.03	0.02	-0.53
-464.54	-76.90	5136.21	-21.82	-14.06	302.75	0.04	-0.02	0.77	0.99	-0.01	0.01	-0.14
-481.95	-77.55	5399.71	-22.39	-5.92	310.63	0.00	0.00	-0.00	1.00	-0.01	0.00	-0.03
-499.59	-78.01	5666.84	-22.48	-6.31	318.19	0.00	0.00	-0.00	1.00	-0.01	0.00	-0.04
-517.67	-78.35	5940.73	-23.08	-6.19	325.77	0.00	0.00	0.00	1.00	-0.01	0.00	-0.04
-536.10	-78.56	6219.73	-23.75	-6.17	333.31	0.00	0.00	-0.00	1.00	-0.01	0.00	-0.04
-555.08	-78.65	6506.14	-24.37	-6.05	340.88	0.00	0.00	0.00	1.00	-0.01	0.00	-0.04
-574.42	-78.62	6798.27	-24.89	-5.92	348.43	0.00	0.00	-0.00	1.00	-0.01	0.00	-0.04
